,industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
0,Technology,0.0184555200558772,-0.0220850223627678,0.0745088564931084,0.0087516130229547,199900.0,158700.0,199800.0,158600.0,17.96,0.27,0.62,0.14,3.58,-5.59,0.0324870621300921,287.504,0.33,3.6,42.17,51.77157148812,42.022083333333335,1
1,Technology,0.0777777565850151,-0.0249186948692525,-0.0435233256887851,-0.0306379013072092,92500.0,25900.0,82400.0,16100.0,13.81,0.02,0.88,0.23,1.43,12.52,0.0329975241129857,256.143,2.38,3.6,19.16333333333333,100.0,19.13958333333333,0
2,Consumer Discretionary,-0.0099104673094829,0.0017043282297556,0.0181770403643102,0.0386139242024708,536700.0,441600.0,924400.0,813700.0,26.21,0.95,0.89,2.91,12.61,18.3,0.0188594075890566,256.143,2.38,3.6,232.44333333333336,41.52637485970846,232.5575,1
3,Energy,0.0335473844133944,0.0068609932612746,0.011342389751829,0.0029443965710681,1450900.0,846500.0,846500.0,1045700.0,1.46,0.2,0.56,-7.81,41.22,39.26,0.0267100793876752,303.363,4.83,3.4,77.23,76.41277641277642,77.84583333333333,1
4,Consumer Discretionary,-0.0347376696392729,0.0040874717959926,-0.0016569471600914,0.0462061148024336,961100.0,701700.0,786800.0,954900.0,23.9,3.16,1.28,2.22,4.81,11.13,0.0181390669762464,264.877,0.07,6.1,154.73333333333332,19.56926349375169,154.03708333333333,1
6,Industrials,-0.0182375804951952,0.0068684155867484,-0.0055045458904576,0.0357834671408148,512100.0,564100.0,725100.0,573700.0,13.11,1.06,1.09,4.71,10.75,-5.23,0.0173845078648953,296.808,2.33,3.5,478.42,15.323906609667784,478.94916666666666,1
7,Industrials,-0.0107452625705962,0.186361976745129,-0.0418767101805297,0.0117694734612691,955100.0,890900.0,1456600.0,1534500.0,29.84,0.09,1.55,1.91,1.12,7.83,0.0245880523974434,241.353,0.41,4.7,58.32666666666666,28.384687208216462,58.24333333333333,1
8,Consumer Discretionary,0.0055745213647116,0.0078750677828225,0.0175256754982559,0.0194428919635459,581600.0,401000.0,351500.0,537900.0,25.56,0.87,0.96,2.83,12.09,15.21,0.0188831759565947,256.092,2.38,3.7,219.80000000000004,55.852609554806406,219.52541666666667,1
9,Industrials,-0.0331491947676061,0.0091435825365827,0.0231212565494407,0.0336754771997285,189800.0,142200.0,162800.0,151700.0,26.69,0.85,0.93,1.25,11.63,10.18,0.0228504181643167,273.003,0.1,5.4,133.56000000000003,4.956117707795473,132.97416666666666,1
10,Technology,0.0071929941986202,-0.0842902946811712,0.0307338005630767,0.0188381213176116,2656400.0,2530000.0,4729200.0,6858200.0,40.15,1.7,0.49,-0.14,9.44,37.6,0.0307069832215816,260.28,0.09,7.9,51.08833333333333,70.83466581387917,51.32770833333333,0
11,Utilities,0.0320660579442058,-0.0013205300824042,0.0352018073951514,-0.0141510661407373,2754600.0,2752600.0,3639400.0,5005600.0,13.74,1.85,0.44,2.44,23.77,3.63,0.0134230362319176,252.885,2.19,3.8,30.97666666666667,92.09370424597364,30.99,0
12,Health Care,0.0140318063557033,0.0354561498818701,-0.033404712497603,0.0009835365699993,1732763.0,898208.0,1437870.0,1336190.0,492.76,1.51,0.8,-0.29,0.59,12.69,0.0165523815489747,241.353,0.41,4.7,171.95666666666668,55.61452899826648,171.36073333333334,0
13,Finance,-0.0639843427223311,-0.002843672763489,0.0192551818849845,-0.0488994175631115,1302100.0,2480700.0,2656700.0,2070100.0,28.83,12.37,1.04,3.66,36.53,43.28,0.0187130385083548,257.346,1.83,3.6,239.63666666666663,23.91377005347597,240.415,1
14,Utilities,0.0136947079577305,-0.00771560490188,0.0219751805249275,0.0168242974762399,3128800.0,4361300.0,2147100.0,3143600.0,25.46,1.5,0.19,7.7,9.38,-18.47,0.013368868301771,274.31,0.08,4.8,78.57,66.36280765724688,78.70916666666668,0
15,Health Care,0.0182490798622826,-0.0263775880913698,0.0262122941337757,0.027921439121285,1164800.0,1180800.0,782600.0,932700.0,11.58,0.74,1.24,7.7,10.3,15.45,0.0192111646760026,298.012,3.08,3.7,128.05666666666664,47.79499404052437,127.39166666666668,1
16,Industrials,-0.0188793318326667,0.0370755513792504,-0.0481378505001916,0.0148773918504855,2281800.0,1847300.0,2761600.0,1822300.0,38.5,1.06,0.86,1.48,11.71,11.41,0.0268698799716659,307.026,5.33,3.8,48.946666666666665,15.081967213114794,48.98125,0
17,Technology,0.0479135197171331,-0.0225564473574791,0.0334162902274164,0.0256263244344794,1385500.0,1549100.0,3895700.0,1776300.0,49.93,2.99,0.63,1.37,12.69,56.26,0.0290857346736044,305.109,5.08,3.6,205.32333333333332,100.0,205.0858333333333,0
18,Consumer Discretionary,0.0675409869128343,0.0041556808921625,0.0127043667727816,-0.0306343243674265,3369700.0,3366100.0,2939200.0,3275300.0,28.94,0.79,1.17,2.85,14.31,30.66,0.0188506498470534,252.776,2.4,3.8,135.84,88.03483528966312,135.53125,0
19,Consumer Discretionary,0.0021614517208921,-0.0348868498916071,-0.0163288197499871,0.0226370426300963,1323400.0,805000.0,1209500.0,936300.0,19.98,0.95,1.48,-0.23,3.9,-2.97,0.0211315701349136,246.669,1.16,4.2,217.4333333333333,54.76744186046511,217.4358333333333,0
20,Industrials,0.0117234128379514,0.0421346237516775,-0.0309740447075718,0.046407222371755,771000.0,833100.0,764300.0,951800.0,39.4,0.51,1.61,2.1,26.63,22.89,0.0268345651797381,278.802,0.07,3.9,160.39333333333337,53.70138017565876,159.92583333333334,0
21,Consumer Discretionary,-0.1271076608336269,0.0139019666509602,-0.0685914589497868,-0.0255754469049439,7665800.0,2752500.0,3222900.0,1689000.0,18.56,3.64,0.47,6.29,3.62,-11.06,0.0338083136755056,236.916,0.36,4.8,49.18000000000001,0.0,48.8375,0
22,Consumer Discretionary,0.0528989909914495,-0.0379794287497929,0.0460207459121418,0.0809240261060243,9463400.0,9491300.0,17407300.0,12193200.0,33.57,0.51,1.23,3.38,12.47,13.53,0.0243774016370177,299.17,4.33,3.4,79.83,90.2669820885434,79.93333333333334,1
23,Utilities,0.002317592473964,0.0056978774833787,0.0168557716148566,0.0074291248862717,2343500.0,1661700.0,1877100.0,3095100.0,16.17,1.96,0.35,3.17,16.93,-2.2,0.0134738359619014,245.519,1.16,4.4,38.693333333333335,66.72325976230918,38.779583333333335,1
24,Consumer Discretionary,0.0271026191009137,-0.016849764627547,0.0344548777415241,0.0065280717845817,2416800.0,2816600.0,2498300.0,2179100.0,23.54,0.17,0.32,3.1,7.75,2.85,0.0276725095905177,237.336,0.12,5.1,51.633333333333326,81.2499999999999,51.45166666666667,0
25,Technology,0.0428570873355265,-0.0190114062138163,-0.0305423274322502,-0.1211588657567651,28288200.0,30242500.0,23328600.0,26323900.0,19.04,0.11,2.22,2.5,17.92,21.06,0.0194444818211796,301.836,4.57,3.5,94.59,65.6376929325752,94.1125,1
26,Consumer Discretionary,0.022276597015408,-0.0353658733963721,0.0197270956965998,0.0322216289499377,6898800.0,6151300.0,6211900.0,5937800.0,96.37,1.98,0.58,-0.66,3.2,-30.43,0.037117421908721,254.202,2.4,3.8,353.6866666666668,71.86850788219479,355.27791666666667,0
27,Basic Materials,-0.0046728401875084,-0.0186821968632492,0.0006796753465631,-0.0506613864680351,5029900.0,3152800.0,3942800.0,3143800.0,17.68,0.26,1.85,3.0,21.21,18.92,0.0251622246580885,273.567,0.08,5.2,57.44333333333333,46.613545816733,57.55499999999999,1
28,Consumer Discretionary,0.0202626988088911,0.0007510498833638,0.0390167784917746,-0.0138515049450527,602000.0,447500.0,529000.0,365100.0,-40.29,1.7,0.81,-1.16,-5.55,28.41,0.0344607392455721,237.805,0.12,5.6,27.31,62.92134831460699,27.210833333333333,1
29,Industrials,-0.0350978945845103,0.0348470189150864,0.0110911979259571,0.0361857017782731,978200.0,988900.0,1328200.0,4194800.0,19.0,0.71,0.69,4.97,32.25,19.84,0.0172042230562294,241.432,0.66,4.7,67.05000000000001,15.195369030390976,67.27666666666667,1
30,Utilities,-0.0025040074649633,0.0068758225698055,0.0263788830242964,0.0202381345253408,6395784.0,3817225.0,4731049.0,4735535.0,10.77,1.18,0.6,-0.33,6.67,5.45,0.0146132995760472,252.146,1.92,3.8,43.623333333333335,57.79569892473121,43.71041666666667,1
31,Industrials,-0.0052778760488208,-0.0205263909888684,-0.012462504922822,0.0319182503352066,456000.0,240900.0,189400.0,299800.0,18.76,0.27,1.33,2.15,2.78,-0.74,0.0241839701124877,244.733,0.91,4.4,63.48333333333333,57.32972485340546,63.62625,0
32,Consumer Discretionary,-0.0728786926211717,0.0378173337080021,-0.0717151588202484,-0.0187007463815756,6456900.0,2190000.0,2515100.0,3717600.0,21.77,1.7,1.15,-0.92,-2.08,-2.15,0.0270881904528409,256.394,0.05,13.2,18.38333333333333,16.603773584905586,18.238333333333333,1
33,Consumer Staples,0.0052023382175305,-0.0110801920290501,-0.0111524949581732,0.0703663265220658,1861100.0,1555700.0,1929000.0,1911500.0,9.98,2.6,0.58,2.14,7.51,18.28,0.0155912754113799,256.394,0.05,13.2,50.56,42.85714285714299,50.41875,1
34,Consumer Discretionary,-0.0102524332672109,0.0309543591180642,-0.0093997699094414,-0.0551312049354986,57840000.0,62586000.0,90740000.0,81278000.0,90.76,0.98,0.88,-1.59,6.58,2.24,0.0370433326258419,260.474,0.09,6.7,159.21400000000003,29.664676290775343,158.88622916666668,0
35,Technology,0.092622825392551,0.0454156178775482,-0.0185030755649454,0.0206007632695423,8704800.0,10065600.0,6331800.0,4440300.0,-37.35,0.28,1.43,-0.62,-12.45,6.69,0.0348507528791235,257.208,1.55,3.6,26.83333333333334,76.20357634112798,26.52041666666667,1
36,Technology,-0.0104778121547656,0.0417689083930829,0.0071796911593459,-0.0088951052918402,6571000.0,7606400.0,5687600.0,6287700.0,36.09,4.82,1.57,10.37,17.27,29.72,0.0313921520415441,259.101,0.1,10.2,92.08666666666667,47.083583884545966,92.42333333333332,0
37,Industrials,-0.0019745333832975,0.0554904669301507,0.0318547865969226,-0.030492568103486,1755400.0,2765900.0,3123200.0,2941300.0,5.67,0.56,5.8,8.95,29.69,34.82,0.0290148397971552,307.789,5.33,3.8,81.45666666666666,41.153435386258494,81.31666666666666,1
38,Consumer Discretionary,-0.0104913253207345,0.0157037775419516,-0.003910536929037,0.0731414212782825,1730200.0,2929500.0,732700.0,1108400.0,14.12,0.83,0.83,1.27,6.35,6.42,0.0233625380745728,260.474,0.09,6.7,35.73333333333333,38.818565400844,35.906666666666666,1
39,Technology,0.0297412606742275,-0.0675646816905414,0.0202836360569864,-0.0046814377749827,19210400.0,23224200.0,18201400.0,18764200.0,24.73,0.1,1.87,3.33,25.67,29.47,0.0193794114410624,307.671,5.33,3.9,133.43999999999997,61.21222830888872,133.3420833333333,1
40,Technology,0.0085239879646164,0.0103072100079941,0.0375712105427246,-0.0018959903458151,1037500.0,490900.0,672700.0,672700.0,29.03,1.25,0.74,-0.94,18.53,55.69,0.0178673342234533,242.839,0.66,4.7,150.80333333333334,51.24851367419727,150.67916666666667,0
41,Industrials,-0.0066429071751484,0.0115830291316579,-0.0125720104584914,0.0697675900891989,1968900.0,2130300.0,3186700.0,3170100.0,597.2,2.64,1.42,1.74,7.08,18.5,0.018778888834366,245.519,1.16,4.4,113.40333333333332,43.21608040201039,113.60458333333334,1
42,Health Care,0.0687037408078353,0.0674662388634755,0.005084779788494,-0.0347678983886935,953800.0,572800.0,484600.0,428800.0,81.25,0.03,0.88,2.63,9.31,14.4,0.0383873112862457,305.109,5.08,3.6,318.59,92.58430557775291,318.68499999999995,1
43,Technology,0.0194126793308711,-0.0007459638241684,-0.0170485396804801,-0.0393074555183051,9326700.0,9298800.0,10717000.0,10470900.0,19.11,0.86,3.94,3.48,25.75,36.71,0.0318239125392657,238.654,0.14,5.2,40.84333333333333,98.0722891566269,40.83083333333333,0
44,Utilities,-0.0119812885718661,0.0010230005934965,0.0262466011619054,-6.515552330212362e-08,2835500.0,4103600.0,3182000.0,2805600.0,15.46,1.76,0.28,3.07,-0.6,-35.52,0.0145320167050744,237.336,0.12,5.1,19.076666666666668,39.82300884955745,19.155416666666667,0
45,Technology,-0.0769782242763023,0.049134144167835,-0.0413281718947154,0.0326126626625301,19179500.0,4796800.0,7089700.0,7850500.0,-17.12,0.97,3.4,3.86,6.32,6.34,0.031768247778271,250.546,1.7,4.0,53.07999999999999,7.079646017699097,52.67666666666666,0
47,Technology,0.02940495302409,0.1148106047637698,0.0574663318080909,0.0003810336136938,3429400.0,2412200.0,3606200.0,11256800.0,-98.86,0.75,1.35,-4.24,-2.64,8.54,0.0245788636825274,260.28,0.09,7.9,232.7433333333333,42.17726258189936,229.2645833333333,0
48,Technology,0.030912592152788,0.02566692947335,0.0291073306286595,0.009832834721666,917400.0,3321800.0,7550000.0,2718600.0,57.67,1.83,0.52,0.21,8.14,28.3,0.0302919121015733,256.974,1.55,3.6,52.45,100.0,52.2575,1
49,Consumer Discretionary,-0.0723524341060543,0.0087844139911678,0.0002584148031281,-0.1070727789438517,2000077.0,1329402.0,1007780.0,1007780.0,29.43,4.33,0.89,-13.73,-1.74,0.67,0.0351533985878277,277.948,0.07,4.2,44.48996666666667,7.1509767397431245,44.35479166666667,0
52,Energy,-0.0652325307536667,-0.0166506752989928,-0.0600623019672406,-0.0201526802737582,8193800.0,8727300.0,9260000.0,7502000.0,15.07,0.47,1.51,4.91,18.31,17.82,0.0195597668740124,252.885,2.2,3.8,67.94999999999997,25.330257915705616,67.92083333333333,1
53,Consumer Discretionary,0.0054033682293101,0.0048866789544895,0.0563520552670621,0.03887971518812,712200.0,523900.0,626000.0,996200.0,13.95,1.39,1.59,7.18,8.18,8.21,0.0212404609234831,240.849,0.4,4.9,74.67999999999999,49.22480620155067,74.60291666666667,0
55,Industrials,0.0109626202967335,-0.0434212471915933,0.0116030686986085,0.048306033705742,1177800.0,1023000.0,1418300.0,1281900.0,48.56,0.69,0.72,2.61,-2.64,11.28,0.022222274936291,249.554,1.42,4.0,59.48333333333334,46.19883040935672,59.29333333333334,0
56,Technology,-0.008834299693172,-0.0127632098605343,0.0559298705787706,-0.0078002781915018,16500200.0,19806700.0,20581700.0,18514000.0,-35.82,0.78,1.37,-8.2,-50.03,10.82,0.0374090982160058,276.589,0.08,4.5,46.70666666666667,34.620505992010706,46.565,1
58,Consumer Staples,0.0211531044745153,-0.0153071285833097,0.0143474749786079,-0.0060558227565961,4997400.0,9458600.0,4101400.0,5184600.0,44.45,0.01,3.68,1.27,19.94,14.99,0.050312912628082,301.836,4.58,3.5,51.88833333333333,65.91639871382651,51.857083333333335,0
60,Consumer Discretionary,0.0586722565606744,0.1310908896019037,-0.021352266372251,0.0784877352561987,1940125.0,2540379.0,2527657.0,3687395.0,15.19,3.02,0.88,23.88,2.88,4.25,0.0354649537036475,256.571,2.4,3.7,21.938,81.01833582516772,22.090379166666665,1
61,Health Care,0.0258532501257905,0.181874957203359,-0.0022014487198208,0.029110017472533,8677200.0,5973600.0,6967200.0,13438400.0,198.03,1.3,5.05,-9.07,20.03,21.52,0.035971568490148,258.678,1.58,3.5,73.78666666666668,51.937457511896646,73.47125,1
62,Consumer Discretionary,-0.0340479757090862,-0.0202619142597093,0.034773730225706,-0.0121242621971788,1557900.0,1225100.0,1091300.0,1620700.0,22.53,1.04,0.76,0.8,1.04,2.51,0.0268953718187489,307.671,5.33,3.9,39.02666666666666,13.351877607788657,38.860416666666666,1
64,Consumer Discretionary,0.0542211943627184,-0.0239665358055002,0.0358431883226215,0.0315721950660389,939400.0,1220400.0,684000.0,1156000.0,19.2,0.55,0.62,-1.54,8.17,0.9,0.0194226959315759,246.663,1.16,4.2,155.5566666666667,100.0,155.24291666666667,0
65,Industrials,0.0075387999943572,-0.0825603421133254,-0.0121321229679933,-0.0036859737854521,1002600.0,979700.0,844200.0,1162200.0,22.5,0.97,0.54,1.42,10.13,14.08,0.0202490289076503,287.504,0.08,3.6,273.52666666666664,57.555919258047005,273.41791666666666,1
66,Basic Materials,0.0222154027303725,-0.0614540451791278,0.0008237220030669,0.01448446393736,6857558.0,9367459.0,5675155.0,5886038.0,16.66,4.0,0.95,6.54,4.74,13.48,0.0199154320675818,237.111,0.38,4.9,32.89176666666666,74.27322662571582,32.93318333333333,0
70,Consumer Discretionary,0.0124693948327187,-0.0467101227769656,0.0077611774680414,-0.0035305752948325,877500.0,528500.0,1019300.0,1358600.0,22.68,3.62,1.11,4.51,1.79,10.76,0.0148574986216901,244.524,0.91,4.4,57.580000000000005,82.52032520325182,57.54083333333334,1
73,Energy,-0.0381638190021951,0.0296127673025788,-0.0684351792838597,0.0679887158803208,973900.0,1626100.0,1718200.0,1962400.0,28.55,0.14,0.83,-22.03,29.18,-10.43,0.0227425506280231,252.006,1.91,3.8,17.41333333333333,7.917888563050145,17.469583333333333,1
74,Health Care,0.0212184375450726,-0.0383277706644222,0.0159091247708619,0.0533906486805316,1365400.0,1579400.0,1102700.0,1027300.0,33.97,-3.71,0.47,8.32,1.14,-1.55,0.0204260190521203,296.808,2.33,3.5,364.88333333333327,68.12343619683062,363.9016666666666,1
75,Technology,-0.0078502547628265,0.092875372974355,-0.0354652270711734,-0.0281730065846325,9807592.0,10369055.0,11457520.0,9478375.0,-273.17,1.68,0.81,-0.02,6.49,10.98,0.0178579715834712,276.589,0.08,4.5,82.097,41.90698235317764,81.95848749999999,0
77,Energy,0.0312313373265295,0.0206523404857906,0.0354465726502755,0.0057270931425042,2917000.0,6490300.0,2350400.0,2171100.0,-27.72,0.31,2.23,-13.33,1.85,-0.51,0.0280362733713557,241.432,0.41,4.7,189.38666666666668,53.60119047619052,187.07125,1
78,Consumer Discretionary,-0.0134228407419675,0.0084602730219914,0.0119863015127464,8.344391042196085e-08,11807200.0,12455000.0,18282700.0,8287100.0,18.73,-2.93,0.24,8.38,15.99,23.17,0.050465586529985,299.17,4.33,3.4,5.836666666666666,36.6666666666666,5.8675,0
79,Consumer Discretionary,0.0073414521264155,-0.0333332916974557,0.0084033495146422,0.0042192928088167,12849900.0,12636000.0,19249400.0,14631600.0,36.94,-4.7,0.11,3.7,20.46,33.94,0.0543512214490938,252.146,1.91,3.8,6.934999999999999,68.10631229235888,6.955833333333333,0
80,Industrials,-0.0405302108371437,0.0048667679880462,0.03362458147661,0.0205350491947545,764200.0,830500.0,1068500.0,523200.0,18.83,1.07,1.76,-4.07,6.51,4.25,0.0166915056524155,244.733,0.91,4.4,37.52666666666668,18.254879448909183,37.71333333333334,0
81,Industrials,-0.0128256872469423,0.0303532562687712,0.0074749013705099,0.0377075486402494,858800.0,858800.0,714300.0,918100.0,21.58,0.6,0.96,3.72,13.85,17.77,0.0186076847258673,238.132,0.37,5.0,49.22666666666666,25.56053811659174,49.31583333333333,1
82,Consumer Discretionary,-0.0678468674802988,-0.0710161851047245,0.0140210960437351,-0.1148864045734575,804700.0,1358500.0,1080300.0,2699900.0,9.28,1.03,0.14,11.51,12.49,5.69,0.0310329562747152,296.808,3.08,3.5,130.97333333333333,17.528201313995304,131.09708333333333,0
83,Technology,-0.0311245444052312,0.0213490774080188,0.0129515122552325,-0.0223047206772788,1641400.0,2656900.0,1739200.0,2209600.0,29.68,-2.1,1.07,1.84,7.87,6.61,0.0197895231678278,281.148,0.08,4.0,84.3,29.635201203459992,84.62208333333334,1
84,Telecommunications,-0.0012367707855095,0.0008143586960571,-0.0218953355341891,0.0155647884372651,17269600.0,18456100.0,14327600.0,8952800.0,16.2,4.96,0.79,4.65,11.57,-5.67,0.0152980830634399,244.524,0.91,4.4,48.54333333333333,29.230769230769194,48.635000000000005,1
86,Health Care,-0.2972301496489135,-0.0243794407694965,-0.0407833239074279,-0.0527755764906333,2731900.0,5187000.0,2006900.0,1128700.0,64.41,0.03,1.03,1.8,12.65,27.66,0.0383492556994087,307.671,5.33,3.9,189.41333333333333,0.6691711669405883,197.6279166666667,0
87,Utilities,0.1449158506478653,0.0204248103357523,0.0417020643135514,-0.087024215808894,9202300.0,5804000.0,5416500.0,6523200.0,30.82,8.31,0.69,3.95,6.16,-8.68,0.0313855713732385,257.797,0.07,11.0,13.923333333333332,100.0,13.903333333333334,1
88,Consumer Staples,0.0014892362452674,0.0081748730151172,0.011987019712176,-0.058196729228661,2745300.0,2272100.0,2114800.0,2282400.0,21.86,2.39,0.41,5.35,9.43,11.18,0.0134037191872082,243.801,0.66,4.4,60.57333333333333,49.88864142539002,60.5125,0
89,Health Care,-0.0906890113271617,0.0521222399941975,0.0529507111075731,-0.0288676400837125,8060200.0,4735800.0,3131300.0,4566800.0,19.01,0.55,0.7,3.82,4.37,2.26,0.0268957925458325,237.945,0.13,5.0,116.71999999999998,1.8530774321641013,116.00166666666668,1
90,Health Care,-0.0491491685389689,-0.0055805141827424,-0.0365938365580183,0.0229752174289394,695100.0,909000.0,287600.0,417100.0,47.16,19.82,0.78,1.89,12.59,19.68,0.0263638822801974,241.729,0.41,4.9,105.54333333333336,25.586947871070382,106.03791666666666,1
91,Utilities,-0.009664346032983,0.0392154584571691,-0.151379752535556,0.0943817125646547,4627200.0,4101600.0,2798800.0,3732500.0,21.07,26.74,0.42,9.48,1.32,3.65,0.0195271840989177,237.111,0.38,4.9,21.41,50.15511892450879,21.41166666666667,0
93,Industrials,-0.0231188993783513,-0.0075745740696932,0.0119171590746518,-0.0103682289904381,1225600.0,1225600.0,1286300.0,1411200.0,30.48,0.81,0.88,0.7,18.74,13.23,0.0202408684072173,289.109,0.33,3.6,572.6100000000001,32.113394330283455,572.7408333333333,1
